UNIQUE_ID,AGE,EDUCATION,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,GENDER,NATIVE_COUNTRY,EMPLOYER_TYPE,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,INCOME_NUM,INCOME
10001,29 YEARS OLD,bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United States,Private,0,0,24,48459,<=50K
10008,34,bachelors,Married-civ-spouse,Exec-managerial,Husband,White,M,United States,Private,7688,0,40,69198,>50K
10012,31,some-college,Divorced,Adm-clerical,Unmarried,White,Female,United States,Private,0,0,40,26176,<=50K
10016,37,hs-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United States,Private,0,0,50,92500,>50K
10017,42,doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,United States,Self-emp-not-inc,0,0,45,34453,<=50K
10020,47,bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,United States,Self-emp-not-inc,10520,0,45,93882,>50K
10021,44,hs-grad,Divorced,Craft-repair,Not-in-family,White,Male,United States,Private,0,0,40,81257,>50K
10029,22,some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United States,Local-gov,0,0,55,40495,<=50K
10030,33,bachelors,Never-married,Tech-support,Not-in-family,White,Female,United States,Private,0,0,45,51941,>50K
10031,20,some-college,Never-married,Adm-clerical,Other-relative,White,Female,United States,Federal-gov,0,0,40,20293,<=50K
10032,28,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Self-emp-not-inc,0,0,40,39815,<=50K
10034,27,hs-grad,Never-married,Other-service,Not-in-family,White,Male,United States,Private,0,0,48,38604,<=50K
10037,31,hs-grad,Married-civ-spouse,Exec-managerial,Husband,White,M,United States,Self-emp-inc,0,0,40,49995,<=50K
1004,35,hs-grad,Never-married,Sales,Not-in-family,White,M,United States,Private,0,0,45,21986,<=50K
10042,27,hs-grad,Married-civ-spouse,Transport-moving,Husband,Black,M,United States,Private,0,0,60,23164,<=50K
10043,36,some-college,Never-married,Transport-moving,Not-in-family,White,M,United States,Private,0,0,40,21241,<=50K
10047,25,hs-grad,Never-married,Handlers-cleaners,Other-relative,White,M,United States,Private,0,0,45,42854,<=50K
10050,23,some-college,Never-married,Adm-clerical,Own-child,Black,Female,United States,Private,0,0,40,20311,<=50K
10051,33,hs-grad,Never-married,Other-service,Unmarried,Black,Female,United States,State-gov,1831,0,40,32740,<=50K
10058,40,bachelors,Married-civ-spouse,Prof-specialty,Husband,White,M,United States,Self-emp-inc,0,0,60,49500,<=50K
10065,29 YEARS OLD,some-college,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,United States,Private,0,0,40,35214,<=50K
10068,25,11th,Never-married,Craft-repair,Not-in-family,White,Male,Mexico,Private,0,0,40,42296,<=50K
10077,26,some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United States,Private,0,0,40,26639,<=50K
10078,47,hs-grad,Divorced,Sales,Own-child,White,Male,United States,Private,0,1876,40,48736,<=50K
10079,47,masters,Never-married,Prof-specialty,Not-in-family,White,Male,United States,Local-gov,0,0,40,46949,<=50K
10095,38,some-college,Married-civ-spouse,Sales,Husband,White,Male,United States,Private,0,0,60,83502,>50K
10096,25,hs-grad,Never-married,Other-service,Own-child,White,Female,United States,Private,0,0,8,21442,<=50K
10097,21,some-college,Never-married,Transport-moving,Own-child,Black,Male,United States,Private,0,0,40,22731,<=50K
10104,25,hs-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United States,Private,0,0,40,23901,<=50K
10106,29 YEARS OLD,hs-grad,Never-married,Farming-fishing,Unmarried,White,Male,United States,Private,0,0,35,36664,<=50K
10118,45,hs-grad,,Sales,Own-child,White,Female,United States,Private,0,0,19,28480,<=50K
10126,27,hs-grad,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,United States,Private,0,0,40,31851,<=50K
10129,33,some-college,Never-married,Machine-op-inspct,Not-in-family,White,M,United States,Private,0,0,40,25986,<=50K
1013,34,some-college,Never-married,Craft-repair,Not-in-family,White,M,United States,Private,0,0,40,38963,<=50K
10132,33,some-college,Never-married,Other-service,Not-in-family,White,Female,United States,Private,0,0,28,24689,<=50K
10146,50,some-college,Married-civ-spouse,Protective-serv,Husband,White,M,United States,Local-gov,0,0,48,49042,<=50K
10151,32,doctorate,Never-married,Prof-specialty,Not-in-family,White,M,United States,Self-emp-inc,0,0,77,27376,<=50K
10158,23,bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United States,Private,0,0,40,21466,<=50K
10161,36,assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United States,Private,0,0,40,87845,>50K
10169,45,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,29569,<=50K
10172,18,some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,United States,Private,0,0,15,37797,<=50K
10180,31,bachelors,Married-civ-spouse,Sales,Husband,White,Male,United States,Private,0,0,60,25411,<=50K
10192,22,some-college,Never-married,Adm-clerical,Not-in-family,Other,Male,United States,State-gov,0,0,20,47162,<=50K
10195,31,some-college,Divorced,Other-service,Unmarried,White,Female,United States,Private,0,0,48,40922,<=50K
102,38,hs-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United States,Private,0,0,40,47553,<=50K
1020,23,some-college,Never-married,Sales,Not-in-family,White,Male,United States,Private,0,0,25,45766,<=50K
10206,33,hs-grad,Divorced,Adm-clerical,Not-in-family,White,Male,United States,Private,0,0,38,23811,<=50K
10215,21,hs-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United States,Private,0,0,40,45372,<=50K
10220,20,hs-grad,Never-married,Other-service,Not-in-family,White,Female,United States,Private,0,0,30,45480,<=50K
10222,50,masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United States,Local-gov,15024,0,40,75783,>50K
10227,45,hs-grad,Married-civ-spouse,Sales,Husband,White,Male,United States,Private,0,0,50,20007,<=50K
10234,26,hs-grad,Separated,Adm-clerical,Unmarried,White,Female,United States,Private,0,0,40,35892,<=50K
10236,36,bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Self-emp-not-inc,0,0,45,94662,>50K
10241,24,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United States,Private,0,0,40,27098,<=50K
10248,23,hs-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United States,Private,0,0,30,25721,<=50K
10253,27,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,60,30983,<=50K
10262,38,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,53700,>50K
10265,36,masters,Married-civ-spouse,Other-service,Husband,White,Male,United States,Private,0,0,40,48322,<=50K
10268,28,bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United States,Private,0,0,40,30922,<=50K
10271,36,masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Private,15024,0,50,81826,>50K
10273,49,hs-grad,Divorced,Sales,Not-in-family,White,Male,United States,Self-emp-not-inc,0,0,50,58137,>50K
10274,18,7th-8th,Never-married,Machine-op-inspct,Own-child,White,Male,United States,Private,0,0,40,41488,<=50K
1029,33,1st-4th,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Female,Guatemala,Private,0,0,40,27712,<=50K
1030,42,hs-grad,Divorced,Machine-op-inspct,Not-in-family,White,M,United States,Private,0,0,55,48829,<=50K
10301,21,hs-grad,Never-married,Machine-op-inspct,Own-child,White,M,United States,Private,0,0,30,30974,<=50K
10302,34,some-college,Married-civ-spouse,Exec-managerial,Husband,White,M,United States,Private,0,0,40,88336,>50K
10307,45,bachelors,Divorced,Prof-specialty,Not-in-family,White,M,United States,Self-emp-not-inc,0,0,35,37020,<=50K
10312,34,hs-grad,Married-civ-spouse,Prof-specialty,Husband,White,M,United States,Self-emp-not-inc,0,0,40,72023,>50K
10317,49,some-college,Married-civ-spouse,Other-service,Husband,White,Male,United States,Private,0,0,17,47031,<=50K
10326,27,some-college,Divorced,Exec-managerial,Own-child,White,Female,United States,Private,0,0,40,47221,<=50K
1033,23,hs-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Mexico,Private,0,0,40,33578,<=50K
10341,31,bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Private,0,2246,45,95140,>50K
10343,42,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Self-emp-not-inc,0,0,40,28618,<=50K
10349,19,hs-grad,Never-married,Adm-clerical,Own-child,White,Male,United States,Private,0,0,40,22528,<=50K
10351,22,hs-grad,Separated,Other-service,Unmarried,Black,Female,United States,Private,0,0,35,20340,<=50K
10361,50,masters,Divorced,Prof-specialty,Unmarried,White,Female,United States,State-gov,0,0,40,23271,<=50K
10367,27,hs-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United States,Private,0,0,50,88656,>50K
10369,40,prof-school,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United States,Self-emp-not-inc,0,1977,60,66847,>50K
10374,41,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Italy,Private,0,0,40,38280,<=50K
10377,25,some-college,Never-married,Adm-clerical,Own-child,White,Male,United States,Private,0,1590,40,46474,<=50K
10380,33,hs-grad,,Exec-managerial,Husband,White,Male,United States,Self-emp-inc,0,0,50,39961,<=50K
10382,27,hs-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United States,Private,0,0,40,32205,<=50K
10393,19,hs-grad,Never-married,Craft-repair,Own-child,White,Male,United States,Private,0,0,20,43993,<=50K
10396,42,hs-grad,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,United States,Private,15024,0,40,78463,>50K
10397,37,some-college,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,United States,Private,0,0,30,24082,<=50K
10400,23,hs-grad,Never-married,Transport-moving,Own-child,White,Male,United States,Private,0,0,40,42809,<=50K
10415,24,bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United States,Private,0,0,40,34894,<=50K
10417,46,masters,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,United States,Private,0,0,70,82492,>50K
10430,36,hs-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,United States,Private,0,0,38,31416,<=50K
10432,24,9th,Married-civ-spouse,Sales,Husband,White,Male,Mexico,Private,0,0,45,49437,<=50K
10433,47,bachelors,Separated,Prof-specialty,Not-in-family,White,Female,United States,Local-gov,0,0,70,27758,<=50K
10436,18,11th,Never-married,Other-service,Own-child,White,Male,United States,State-gov,0,0,20,34411,<=50K
10440,27,9th,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,United States,Private,0,0,40,47505,<=50K
